id,Labels
4,1205
54,78
73,2394
101,1504
124,341
128,129
132,2325
176,117
278,2340
349,870
363,4050
366,4050
411,1399
414,3848
422,980
434,4087
443,3437
448,2845
521,1749
599,2521
609,3953
688,367
771,2638
818,452
835,569
842,84
852,2362
873,635
924,1302
951,68
1015,1826
1105,4346
1163,887
1164,926
1200,625
1282,1167
1500,282
1547,561
1585,639
1602,1045
1637,246
1639,190
1640,246
1641,190
1758,2567
1776,34
1797,688
1806,746
1820,521
1822,2586
1841,3707
1845,850
1872,228
1965,729
1978,729
1994,1440
2117,2845
2126,885
2137,43
2154,1302
2183,3472
2223,102
2230,306
2246,1254
2249,4050
2348,1490
2392,2135
2411,1214
2486,1808
2503,611
2511,4346
2517,762
2525,568
2556,2362
2613,2362
2625,439
2641,992
2683,228
2694,1133
2721,1128
2753,2325
2770,36
2797,322
2801,762
2849,3842
2876,765
2894,761
2917,2362
2935,563
2959,1357
2991,1820
3069,45
3079,2132
3085,377
3098,195
3114,200
3120,2231
3123,1346
3210,938
3236,2425
3365,847
3373,1778
3375,360
3425,784
3456,522
3460,3842
3464,257
3542,3714
3552,952
3670,2598
3679,761
3687,2531
3833,1539
3841,365
3850,182
3883,315
3951,259
3954,2907
3980,1279
4005,849
4015,334
4062,2679
4068,1870
4085,1127
4092,1412
4102,208
4109,279
4123,2189
4146,638
4177,393
4216,122
4262,1232
4328,2340
4355,79
4365,1169
4389,746
4390,3069
4406,884
4442,316
4464,2056
4465,87
4484,4294
4624,764
4645,2586
4704,729
4767,246
4804,207
4825,3842
4829,1539
4891,747
4965,1182
4998,1521
5081,66
5138,288
5197,1647
5208,276
5223,1744
5238,2351
5243,1474
5338,439
5346,1961
5384,76
5437,4294
5453,206
5456,646
5457,405
5465,126
5486,153
5582,285
5726,71
5728,71
5734,71
5747,2047
5829,1659
5892,1556
5912,1664
6035,1205
6050,3714
6092,432
6165,1521
6170,1612
6213,75
6224,787
6231,2897
6290,518
6304,968
6335,1584
6351,471
6372,3367
6394,4962
6509,1786
6557,2297
6579,1539
6596,2436
6633,168
6664,787
6688,585
6690,228
6790,622
6854,506
6866,44
6899,1208
6936,3345
6971,439
6984,3791
6988,373
7001,2586
7083,2047
7099,3437
7100,4087
7219,4819
7354,945
7531,100
7548,2857
7557,1665
7563,101
7580,952
7606,1986
7630,346
7644,826
7651,785
7667,782
7717,1302
7775,926
7834,772
7916,1828
7923,4234
7933,1204
8026,761
8050,178
8120,1854
8130,259
8157,2697
8162,1375
8183,1820
8203,2046
8285,312
8287,3515
8323,149
8324,246
8334,1134
8365,452
8384,1567
8466,2403
8469,534
8481,699
8495,3836
8533,3224
8546,563
8558,313
8619,2142
8624,296
8680,2930
8692,4844
8720,842
8787,724
8815,84
8817,1516
8826,1182
8866,786
8922,1214
8926,439
8934,729
9030,522
9098,3953
9100,1062
9106,774
9169,4173
9179,161
9210,3150
9244,246
9246,246
9247,246
9252,246
9253,246
9254,246
9277,246
9282,246
9284,246
9323,2567
9345,259
9372,603
9382,603
9453,3939
9477,119
9526,66
9645,2325
9649,1214
9650,610
9656,4294
9668,689
9762,127
9834,1167
9869,2231
9893,1661
10034,246
10035,246
10054,1293
10064,1214
10149,19
10180,15
10384,1214
10390,1615
10456,1448
10481,3636
10486,1127
10492,2325
10539,3381
10546,491
10584,161
10596,706
10597,697
10598,706
10599,706
10602,2400
10609,706
10613,706
10627,706
10634,1664
10641,720
10654,942
10687,521
10711,564
10719,2820
10727,2208
10732,2820
10734,2486
10821,1302
10861,4086
10872,926
10894,106
10902,637
10904,69
10980,1768
10997,439
11030,783
11065,790
11074,319
11141,413
11152,282
11153,1077
11212,2575
11224,1961
11264,373
11312,1109
11352,2297
11392,1114
11413,3034
11426,3362
11442,212
11462,1070
11498,1870
11501,119
11516,175
11532,3707
11593,168
11663,252
11683,3224
11773,502
11799,284
11804,284
11818,1395
11880,4618
11892,182
11915,400
11963,1062
12009,182
12060,158
12062,158
12086,632
12147,2689
12177,282
12209,2222
12217,1732
12275,926
12303,97
12346,1997
12382,1572
12500,1232
12517,430
12525,1504
12526,35
12562,4617
12604,1214
12608,2405
12629,1476
12645,2489
12646,2489
12647,2489
12648,2489
12681,2426
12695,3409
12742,2935
12746,140
12785,2706
12860,2293
12886,272
12898,32
12902,1880
12904,10
12959,2340
12969,4508
12971,1134
12983,1134
12985,1134
13083,3996
13087,84
13095,84
13097,84
13103,84
13108,84
13121,84
13123,84
13146,105
13169,2513
13213,1326
13248,1718
13316,707
13343,1011
13436,2191
13437,2827
13472,1778
13475,1778
13507,433
13518,3224
13589,400
13590,283
13635,717
13636,22
13679,375
13732,1659
13739,4220
13752,105
13768,1214
13794,84
13799,84
13837,2957
13850,3224
13857,1035
13867,359
13905,857
13922,4121
13933,1264
13948,762
13965,622
13998,3515
14011,245
14012,4305
14038,854
14073,2580
14076,2580
14088,945
14092,3714
14157,4570
14245,275
14254,676
14280,1103
14299,375
14305,0
14311,2615
14315,2820
14372,711
14425,282
14435,823
14445,3
14567,439
14573,2567
14599,123
14618,622
14658,160
14662,2150
14686,2340
14698,1490
14739,459
14791,1023
14859,2848
14896,17
14906,699
14930,766
14948,34
14960,1243
14979,145
14981,562
14992,2231
15010,4694
15018,215
15054,448
15076,1946
15127,83
15147,501
15270,2296
15289,1214
15292,1204
15316,2957
15433,887
15449,2489
15463,427
15489,405
15547,1205
15554,439
15615,3147
15661,536
15700,4087
15708,1345
15749,367
15859,34
15919,3114
15922,400
15952,322
16019,1056
16050,1205
16051,518
16109,270
16111,270
16164,614
16240,3515
16253,179
16383,2537
16457,127
16595,2392
16644,649
16648,1229
16710,349
16714,1204
16750,517
16793,534
16832,66
16905,3459
16912,182
16942,109
17023,1214
17077,1264
17091,2549
17137,1031
17208,4368
17215,814
17239,872
17284,646
17348,306
17400,119
17440,4508
17442,4508
17479,676
17611,113
17637,296
17648,1247
17651,1247
17667,1986
17707,3364
17709,498
17715,113
17716,2586
17928,1352
17934,367
17994,1093
17999,1467
18041,2340
18059,585
18066,3953
18103,553
18129,3257
18134,3515
18190,1771
18212,3409
18326,1786
18396,926
18426,2208
18452,1516
18471,819
18479,21
18493,10
18504,3
18538,2753
18588,4049
18596,161
18622,1584
18650,1094
18668,1820
18673,2085
18696,1368
18722,792
18761,24
18853,1232
18871,3094
18936,31
18946,128
19002,1456
19006,520
19043,858
19088,245
19097,2461
19148,637
19197,3437
19252,367
19300,1380
19319,360
19323,681
19341,2698
19345,4530
19370,1436
19411,259
19463,676
19471,884
19506,783
19509,2340
19614,2440
19622,506
19625,282
19679,1023
19752,408
19756,483
19767,213
19778,2810
19835,1221
19877,3196
19912,4115
19917,1615
19994,378
19999,2340
20068,3714
20070,1204
20166,338
20182,36
20183,36
20185,36
20186,36
20193,231
20232,59
20297,2074
20338,850
20353,520
20550,483
20561,1490
20571,349
20676,1177
20716,24
20730,564
20761,350
20763,213
20839,2615
20879,1686
20888,1878
20902,1878
20903,1878
20904,1784
20998,518
21020,1686
21046,699
21053,2760
21106,3726
21160,1584
21166,247
21173,649
21193,128
21232,1056
21262,915
21270,765
21332,1023
21397,2304
21403,1098
21483,638
21513,925
21516,282
21518,113
21532,3196
21544,4541
21584,336
21599,1067
21628,1214
21659,17
21695,17
21716,622
21742,65
21786,2340
21789,359
21823,2213
21859,926
21945,1516
22010,688
22036,3224
22044,422
22085,442
22108,926
22116,2273
22153,2028
22154,2028
22157,1264
22190,352
22295,3044
22343,1544
22379,231
22383,498
22388,664
22412,732
22475,4087
22512,477
22544,2642
22545,1904
22558,103
22627,377
22687,498
22699,1214
22700,2373
22749,952
22750,926
22753,73
22780,1647
22782,408
22787,3165
22826,3665
22905,119
22915,842
22967,347
22968,787
22979,105
23051,2831
23130,2074
23175,1590
23181,3410
23287,4508
23338,724
23350,2059
23465,1539
23486,4844
23490,191
23529,4861
23785,79
23890,2698
23901,292
23912,2394
23916,2698
24022,124
24025,124
24054,34
24076,478
24123,543
24168,1584
24169,3345
24221,766
24235,316
24239,1170
24328,282
24373,677
24397,17
24448,784
24451,1214
24458,40
24462,40
24554,4726
24556,1858
24557,1823
24580,761
24614,2074
24632,57
24662,2400
24669,1474
24694,2567
24701,2521
24980,4615
25094,1937
25301,8
25476,1880
25478,1880
25482,259
25539,3842
25558,1399
25566,1922
25624,33
25678,919
25701,638
25705,1872
25749,2351
25829,825
25930,421
25950,1316
25988,912
25990,941
26015,380
26060,2195
26083,0
26087,1031
26093,1079
26217,1302
26230,2426
26233,1593
26284,207
26369,154
26373,1539
26443,521
26459,113
26513,129
26564,188
26566,1823
26567,320
26594,1354
26602,1474
26617,2074
26658,765
26661,2367
26676,477
26713,1293
26714,633
26762,1823
26767,1183
26769,1183
26829,688
26901,2047
26950,3010
26999,2325
27137,439
27365,477
27384,1786
27394,1279
27423,221
27451,168
27468,1093
27504,2875
27545,551
27620,97
27651,405
27657,2074
27766,103
27841,168
27853,2150
27877,179
27890,265
27892,909
27896,2600
27941,1247
27959,2706
27964,2848
27966,113
28053,1539
28123,2845
28152,4779
28304,1317
28313,926
28328,1233
28346,3484
28416,1352
28461,3027
28496,231
28513,82
28519,2642
28531,1230
28556,1230
28570,1230
28591,1230
28596,1230
28682,259
28710,2531
28723,622
28865,3417
28873,657
28879,1903
28895,2668
28905,1612
28914,538
28941,1302
28957,459
28959,4317
29010,4346
29036,2446
29093,1476
29098,1214
29103,12
29159,2377
29195,1069
29201,439
29205,456
29246,377
29260,1775
29281,3094
29307,584
29335,1151
29345,1151
29348,1151
29354,2340
29384,3027
29420,498
29516,2586
29563,1718
29564,1807
29584,158
29586,2340
29680,2827
29702,1922
29759,507
29820,772
29826,200
29849,3730
29866,3340
