id,Labels
1,7135
2,7583
4,7583
5,7583
6,59655
7,64598
8,63016
10,59655
11,3741
12,7179
15,14882
16,17240
17,19265
18,64598
19,23259
20,3874
21,26875
22,28707
25,32902
26,34485
27,14934
28,7583
29,3874
31,7179
32,7179
34,42846
35,34485
38,4464
39,14934
42,27455
43,14934
45,51137
46,51698
50,54201
51,7583
52,7583
54,34499
59,27465
60,59244
62,60238
63,3876
64,61181
65,27209
66,3876
69,59949
72,7583
73,65139
74,27209
75,65866
77,66974
78,7179
79,67617
80,7583
81,27465
82,14934
84,27465
87,67815
91,27209
92,14934
94,67815
96,7583
98,64600
99,27209
100,51
101,376
102,687
103,1033
104,1352
105,1665
107,2322
108,2833
109,2946
110,3331
118,5838
119,6198
120,6436
121,2946
124,7461
127,8321
128,8665
129,3874
130,9180
131,9484
132,4464
133,10034
136,7583
137,7583
138,11289
141,12107
144,32902
145,3874
146,13448
147,7583
149,14079
153,15031
154,14934
155,14934
158,16212
162,17084
163,7583
164,3761
165,7583
166,18053
167,14934
170,18901
172,19325
173,3874
174,13167
176,20171
178,7583
179,20789
180,20988
181,21287
182,21519
185,22048
186,4464
187,22408
189,17112
190,27465
193,23613
198,1045
199,19346
200,1378
201,25175
203,25474
207,26098
211,26889
212,3874
214,27463
215,27621
220,1045
221,14934
222,67815
224,19346
225,14934
230,30027
232,3874
233,12107
239,31257
241,14934
242,13666
244,1722
246,32255
248,32539
249,1722
250,32781
251,27465
252,32989
254,27465
255,33368
256,33525
257,19346
259,27209
261,3874
263,30443
264,27209
265,7583
268,24840
269,17240
271,35401
272,4464
273,59671
274,14934
275,1722
276,35996
277,27209
278,36269
282,34499
285,3035
287,34499
296,38354
299,14934
302,4464
303,39162
304,13167
305,39332
307,4464
311,1722
313,34499
314,22048
316,7583
321,4464
322,7583
323,26142
324,41262
326,27209
329,14934
330,41817
331,13167
333,42122
334,42239
335,4464
338,19346
341,18902
343,2946
344,9484
345,12107
347,43370
349,26915
350,43401
351,26142
352,43841
353,28994
354,4464
358,32313
359,7583
360,17240
362,44649
363,44760
364,44760
365,44937
366,44760
367,45076
369,10040
370,64600
371,10040
372,110
374,4464
376,43080
377,42862
379,32313
385,3874
386,31257
390,4464
391,26916
392,13666
393,27209
396,7179
397,12107
398,19346
399,3761
401,46031
404,47894
405,7583
408,17112
409,6495
411,31257
413,7583
414,48603
418,4464
420,49014
422,2946
423,49252
424,25188
425,49359
426,18902
431,13666
434,14934
435,3761
437,3874
439,14934
441,14934
442,26916
443,50618
444,17112
448,50949
450,14934
451,1722
453,46031
456,10040
457,51523
458,42863
459,51523
460,42863
461,7583
462,59949
464,7583
466,51982
467,9484
468,32313
470,44760
471,4464
472,14934
473,111
475,52463
476,51176
477,7583
478,7583
479,49381
480,31257
483,18902
484,7583
485,31257
486,31257
488,6803
489,53235
492,5979
493,14934
494,3035
495,7583
496,3874
498,7583
499,26916
500,3761
501,53921
502,14934
504,9484
505,54105
507,42863
509,34485
510,18053
