Source,Target
4,16050
4,286286
4,310803
4,320519
4,408108
54,144283
54,178505
54,418374
73,261014
73,261046
73,282562
73,393723
73,417573
73,483855
101,124786
101,186707
101,466129
124,243477
124,302516
124,318491
124,320027
128,26513
128,350694
128,374193
128,441002
132,114810
132,224509
132,340592
132,426678
132,489563
176,131232
176,132531
176,132725
176,201855
176,347858
278,79870
349,37216
349,220969
349,340505
349,535818
349,543799
363,366
363,2249
363,179872
363,286571
363,339819
363,420407
363,518925
366,2249
366,154675
366,179871
366,179872
366,286573
366,339819
366,388255
366,420407
366,518925
411,25558
411,111832
411,172588
411,172609
411,536250
414,31823
414,265606
414,362149
414,363232
422,170849
422,451122
434,32499
434,40152
434,50733
434,424320
443,30669
443,128705
443,139954
443,185636
443,216567
448,28123
448,52713
448,55701
448,56684
448,75848
448,80796
448,104366
448,114138
448,131874
448,154321
448,158327
448,203546
448,260305
448,334420
448,334588
448,338300
448,362528
448,366149
448,375133
448,389968
448,396362
448,410087
448,455467
448,471848
448,475036
521,127332
521,169697
521,173687
521,174097
521,233313
521,235362
521,281396
521,289195
521,356349
521,404185
599,24701
599,163894
599,164710
599,198913
599,243898
599,344715
599,420118
609,117356
609,245990
688,19252
688,170410
688,203632
688,217427
688,306218
771,40104
771,280717
771,392919
771,491073
818,8365
818,20904
818,47207
818,200810
818,240914
818,286224
818,442929
835,315316
835,414032
842,93615
842,93617
842,167799
852,70350
852,218600
852,449645
852,473660
873,74023
873,183871
873,247194
873,255355
924,30018
924,66628
924,158013
924,185616
924,369741
924,414973
951,200511
951,414227
1015,231400
1015,441874
1105,2511
1105,270233
1105,512492
1163,15433
1163,36150
1163,263773
1164,52705
1164,123137
1164,232111
1164,413736
1164,517097
1200,152589
1200,189124
1200,226140
1200,256580
1200,330293
1200,354088
1200,354565
1282,9834
1500,31980
1500,130542
1500,180569
1500,331200
1500,524027
1547,45292
1547,45295
1547,53978
1547,60658
1547,103117
1547,103118
1547,103120
1547,120328
1547,351390
1547,484333
1547,504033
1585,148532
1585,300111
1585,335171
1585,481957
1602,330542
1602,382058
1602,417272
1602,425507
1637,1640
1637,261662
1637,544403
1637,546961
1639,229515
1639,547527
1640,261662
1640,544403
1640,546961
1641,96981
1641,270541
1758,24694
1758,81958
1758,209023
1776,159988
1776,194944
1776,321831
1776,371067
1776,399039
1776,446503
1776,518125
1776,518984
1797,49003
1797,84346
1797,170339
1797,200204
1797,216324
1797,226047
1797,258182
1797,269999
1797,311817
1797,396491
1797,433538
1806,35472
1806,49243
1806,49268
1806,158841
1806,164686
1806,321497
1806,376498
1806,393054
1820,135942
1820,160700
1820,167642
1820,185834
1820,206265
1820,233088
1820,394137
1820,516947
1822,164421
1822,262908
1822,285611
1822,386841
1841,58900
1841,365870
1841,420862
1841,444762
1841,472228
1845,357018
1872,30562
1872,89325
1872,300768
1872,374435
1872,449838
1965,8934
1965,167220
1965,353741
1978,4704
1978,239165
1978,353741
1994,61102
1994,186228
1994,219888
2117,28123
2117,75848
2117,104366
2117,158327
2126,3951
2126,40319
2126,48815
2137,31014
2137,78589
2137,94796
2137,147315
2154,66628
2154,221852
2183,49996
2183,128994
2183,160063
2183,187482
2183,196867
2183,294552
2223,114393
2223,139407
2223,261397
2223,264686
2223,289508
2223,328671
2223,424392
2223,479184
2223,497568
2223,527734
2230,17348
2230,76246
2230,312849
2246,40924
2246,222688
2246,243994
2246,276364
2246,287458
2249,179871
2249,179872
2249,286571
2249,339819
2249,388255
2249,420407
2348,20561
2348,445171
2392,61308
2392,113764
2392,163285
2392,203895
2392,216380
2392,337940
2411,101280
2411,163311
2411,351827
2411,396936
2411,471620
2411,489239
2486,458993
2503,92800
2503,386343
2503,510772
2511,29010
2511,48718
2511,88789
2511,111172
2511,303322
2511,342327
2511,415737
2517,13948
2517,226965
2517,301181
2525,268935
2525,276495
2525,341825
2525,448472
2525,448478
2556,513011
2613,307273
2625,71292
2625,164151
2625,168608
2625,395771
2625,419830
2625,433665
2641,65360
2641,127711
2641,259116
2641,352696
2683,112014
2683,254184
2683,316507
2694,74217
2694,149937
2694,172017
2694,271996
2721,189129
2721,211198
2721,211918
2721,236093
2753,10492
2753,308657
2753,317267
2753,341742
2770,20183
2770,20185
2770,20186
2770,119246
2797,15952
2797,129002
2797,140476
2797,348877
2797,412353
2797,463702
2797,472962
2797,480884
2801,13948
2801,118905
2801,282410
2801,328021
2801,328447
2849,71772
2849,325027
2849,362720
2876,26658
2876,213842
2876,262923
2876,300628
2876,412703
2894,122664
2894,137545
2894,148848
2917,150211
2935,37312
2935,76588
2935,136512
2935,159870
2935,175417
2935,185930
2935,197590
2935,216822
2935,219109
2935,243758
2935,246509
2935,329234
2935,375325
2935,418746
2935,498635
2959,145910
2959,208358
2991,8183
2991,121944
2991,271884
2991,370447
3069,81664
3069,197416
3069,203243
3069,333710
3069,459575
3069,468467
3069,492665
3079,147969
3079,147982
3079,325609
3085,250399
3085,276688
3085,348709
3098,80447
3098,500105
3098,520891
3114,150549
3114,169366
3114,194423
3114,216586
3114,221763
3114,479189
3120,101939
3120,246768
3120,276847
3120,362551
3123,132830
3123,143495
3123,201249
3123,411093
3123,420629
3123,485258
3210,75287
3210,149495
3210,383250
3236,62953
3236,396806
3236,457678
3236,474918
3365,90677
3365,97698
3365,118408
3373,13475
3373,50948
3373,54958
3373,339002
3375,40008
3375,105719
3375,207491
3375,253222
3375,349314
3375,468369
3425,69540
3425,105548
3425,116210
3425,163205
3425,219315
3456,77482
3456,178222
3456,238357
3456,311109
3456,378470
3460,71772
3460,325027
3460,362720
3464,105174
3464,126775
3464,205091
3542,67627
3542,267766
3542,327394
3542,382101
3542,509123
3552,7580
3552,22749
3552,121135
3552,128737
3552,188787
3552,282645
3552,287651
3552,291810
3552,447790
3670,152841
3679,94083
3679,332872
3679,403965
3679,450297
3679,478362
3687,124215
3687,507862
3833,33812
3833,73400
3833,98332
3833,131211
3833,306781
3833,343242
3841,74788
3841,353325
3841,377372
3850,35115
3850,38731
3850,76213
3850,229019
3850,311508
3850,332908
3883,30039
3883,134175
3883,141436
3883,197127
3883,201731
3883,319970
3883,340397
3951,8130
3951,25482
3951,71938
3951,344945
3951,373235
3951,412381
3951,420900
3951,439705
3951,444746
3951,453143
3954,250469
3954,279552
3954,283824
3980,111167
3980,246405
4005,44111
4005,72733
4005,97674
4005,124690
4005,282981
4005,319136
4005,391665
4005,463620
4005,474167
4005,493578
4015,48899
4015,223513
4015,478326
4015,501994
4062,128583
4062,188720
4062,300598
4062,324597
4068,85992
4068,94324
4068,118909
4068,211337
4068,236357
4068,240860
4068,255103
4068,261066
4068,514553
4085,10486
4085,60002
4085,415440
4092,104191
4092,128901
4092,341575
4092,389644
4102,183325
4102,209823
4102,260990
4102,296623
4109,211196
4109,286924
4109,338212
4123,274146
4123,422043
4146,33803
4146,102775
4146,251959
4146,265445
4146,306793
4146,421033
4146,444942
4146,487055
4177,9179
4177,144982
4177,352994
4216,37145
4216,91450
4216,91468
4216,108411
4216,245639
4216,400141
4262,34379
4262,95461
4262,162679
4262,226870
4262,227311
4262,302969
4262,319198
4262,329351
4262,329392
4262,406413
4262,470788
4328,123953
4355,23785
4355,32025
4355,422347
4365,124819
4365,211726
4365,349450
4365,421255
4389,49243
4389,267328
4389,268877
4389,321497
4389,376498
4389,393054
4390,318580
4390,342640
4390,486876
4390,526214
4406,157089
4406,234224
4406,430041
4406,453999
4442,24235
4442,159226
4442,326541
4442,360762
4442,367827
4442,393518
4442,415544
4442,463705
4442,488459
4464,190377
4464,229447
4464,329897
4464,379369
4464,494068
4465,124908
4465,202570
4465,452470
4465,497934
4465,503387
4484,195830
4484,451248
4624,214232
4645,193112
4645,250774
4645,311029
4645,401615
4645,425538
4704,8934
4767,49756
4767,84392
4767,544170
4804,26284
4804,49697
4804,84512
4804,91726
